INDEX,ZIP,START_TIME,LATITUDE,LONGITUDE,DISTANCE_TO_FREEWAY,Elevation,SOUND_SCORE,NEAREST_ROAD,AVG_DB
107,92105,12:03,32.7503308,-117.0973124,0.67343503,110.9690704,69,18.89952482,62
108,92105,12:11,32.7448096,-117.0838442,1.346870059,94.16764832,77,24.0955895,58
109,92105,03:58,32.7436648,-117.1085391,0.067343503,103.4080048,68,25.99088925,63
110,92105,01:10,32.7245533,-117.1138592,0,51.65060806,68,24.40960408,63
111,92105,01:02,32.7219469,-117.0809252,0,73.96721649,67,29.63998633,68
112,92105,01:19,32.7391746,-117.106827,0.269374012,95.38468933,72,21.44083797,62
113,92105,12:19,32.7353201,-117.0785173,0.538748024,91.63999939,73,13.37406491,66
114,92105,01:26,32.7280702,-117.0979494,0.336717515,70.56672668,72,20.02826823,58
115,92106,01:45,32.745772,-117.2260218,0.808122036,37.78207779,70,14.43819497,56
116,92106,01:54,32.7314641,-117.2210381,1.952961586,5.478177071,70,17.86267191,65
117,92106,02:06,32.7138801,-117.2443483,3.703892663,95.2011261,82,34.91716168,49
118,92107,02:14,32.7336976,-117.2410871,2.154992095,57.02125549,69,17.4463363,68
119,92107,02:20,32.739268,-117.25403,1.481557065,12.47699833,71,18.55676362,60
120,92107,02:40,32.7436848,-117.2299451,1.010152545,22.24940872,67,15.8234021,51
121,92107,02:24,32.7418587,-117.2486972,1.212183053,18.80270958,70,29.08674002,57
122,92107,02:29,32.7368891,-117.2394795,1.81827458,55.36031342,68,24.68667564,67
123,92107,02:34,32.743839,-117.2302696,1.010152545,22.2630043,67,17.55094546,59
124,92107,02:48,32.7371188,-117.2482525,1.81827458,54.16148758,71,24.40427286,62
125,92107,02:37,32.7458109,-117.2292997,0.808122036,14.91915894,69,14.19915519,51
126,92108,03:17,32.7734452,-117.152362,0.538748024,15.61261845,72,25.20188689,59
127,92108,03:40,32.7837605,-117.134306,0.336717515,46.84593964,73,6.123937036,60
128,92108,03:33,32.7783183,-117.1343478,0.067343503,25.13294792,69,33.19420842,67
129,92108,03:58,32.766976,-117.1589603,0.134687006,12.64502239,67,20.82065594,69
130,92108,11:59,32.7683794,-117.1734856,0.538748024,20.65664101,68,25.93590509,72
131,92108,03:49,32.785123,-117.133563,0.336717515,47.23337936,75,6.232894314,51
132,92108,12:15,32.7777043,-117.1343711,0,23.53352165,69,48.97583349,67
133,92108,12:33,32.774853,-117.100778,0.336717515,57.25665665,70,10.96919308,57
134,92108,12:04,32.7663562,-117.1804876,0.471404521,18.4437542,71,32.76943669,70
135,92108,12:48,32.757867,-117.178492,0.067343503,22.67491531,69,50.03513494,66
136,92108,12:25,32.7888773,-117.1058877,0.404061018,75.72679138,71,15.72757946,62
137,92109,01:51,32.8019943,-117.2456804,1.616244071,25.02140236,74,20.53634614,53
138,92109,01:54,32.8034474,-117.2366666,1.077496048,34.82837677,72,23.32107596,58
139,92109,02:02,32.7902949,-117.2401914,1.683587574,12.23068333,76,19.51542815,50
140,92109,02:24,32.7675711,-117.251243,1.212183053,2.725470781,73,14.88602184,68
141,92109,12:08,32.794039,-117.2303479,1.010152545,4.805073738,78,27.03370882,54
142,92109,02:14,32.7859787,-117.2376421,1.683587574,14.18709946,75,18.52493659,58
143,92109,02:31,32.7820156,-117.253314,2.357022604,4.087983131,74,14.79593673,65
144,92110,02:43,32.7650165,-117.1871777,0.336717515,11.22894859,73,26.8800041,71
145,92110,03:00,32.774523,-117.2029593,0.202030509,5.647893906,70,17.86950499,69
146,92110,03:07,32.78847,-117.1980894,0.538748024,43.57210159,78,18.1968553,53
147,92110,03:24,32.7446621,-117.1809521,0,38.23815536,63,14.46167309,67
148,92110,03:35,32.7562622,-117.2255472,0,3.157481194,64,19.89849933,60
149,92111,02:00,32.8071753,-117.1903939,1.279526556,81.04004669,81,23.20756197,56
150,92111,02:47,32.7812827,-117.1707541,0.606091527,110.8841705,72,4.848771457,64
151,92111,02:08,32.7969332,-117.1870169,1.481557065,88.04328156,82,19.50634007,54
152,92111,02:36,32.7840178,-117.1684543,0.404061018,107.350647,72,16.91992422,57
153,92111,02:53,32.781421,-117.181884,1.414213562,48.14464569,85,13.36263009,48
154,92111,02:20,32.8128763,-117.1641809,0.269374012,111.6745071,70,24.72963233,61
155,92111,02:42,32.76932,-117.1767939,0.606091527,54.2183876,77,33.26390354,53
156,92111,02:28,32.7989504,-117.1586668,0,112.8807373,66,11.56820487,59
157,92113,03:41,32.696218,-117.101961,0.471404521,22.02739525,72,3.876485821,65
158,92113,03:25,32.7003542,-117.1360574,0.067343503,28.8079319,66,15.07405824,61
159,92113,03:18,32.7009121,-117.1231465,0.067343503,6.950146675,68,13.00443876,69
160,92113,03:34,32.6846578,-117.1047127,0.336717515,18.90200424,72,24.5159055,56
161,92114,03:50,32.7020451,-117.0824652,0.808122036,52.83496094,79,21.43140484,59
162,92114,04:00,32.7172354,-117.0828329,0.134687006,46.02012253,69,27.68968599,65
163,92114,01:41,32.7129823,-117.0278015,1.010152545,134.3409271,81,19.60272101,61
164,92114,12:48,32.7156606,-117.0632494,0.942809042,102.4669037,73,23.28478168,70
165,92114,12:56,32.7059583,-117.0789434,1.077496048,51.93304443,74,20.01919864,64
166,92114,01:02,32.6958215,-117.0780774,0.875465539,60.92348099,82,30.94943465,60
167,92114,01:35,32.6989264,-117.0320316,0.942809042,142.5316315,79,18.04964414,54
168,92115,02:12,32.7594003,-117.0684145,1.548900568,137.752655,73,5.408432448,66
169,92115,02:26,32.7659013,-117.0747883,1.212183053,106.0734253,78,17.24531793,53
170,92115,02:20,32.761703,-117.0770408,1.548900568,129.8465271,74,13.23893572,70
171,92115,02:45,32.7597221,-117.0876595,1.481557065,118.0991669,75,20.8464858,65
172,92115,02:42,32.7605495,-117.0843873,1.683587574,120.7528229,74,23.99658925,60
173,92115,02:08,32.752519,-117.071252,1.346870059,127.4733276,75,23.1287293,65
174,92115,02:48,32.757743,-117.0875676,1.481557065,119.2652054,72,19.70546106,67
175,92115,02:36,32.7625187,-117.0833097,1.548900568,102.6865997,72,21.09456279,70
176,92115,02:54,32.7694808,-117.0866197,0.875465539,70.09017944,72,23.78464278,64
177,92116,03:38,32.7599951,-117.1133077,0.336717515,119.0662766,70,20.31225557,60
178,92116,03:51,32.7601954,-117.1336792,0.404061018,117.473465,71,21.16654168,60
179,92116,03:58,32.7600138,-117.142813,0.471404521,101.5859528,74,24.06494293,64
180,92116,03:32,32.7675755,-117.1226377,0.269374012,122.8056412,73,19.09845477,63
